Project Name,Package Name,Type Name,Method Name,Code Smell
mall,com.macro.mall.bo,AdminUserDetails,getAuthorities,Long Statement
mall,com.macro.mall.config,MallSecurityConfig,dynamicSecurityService,Long Statement
mall,com.macro.mall.config,MallSecurityConfig,loadDataSource,Long Statement
mall,com.macro.mall.config,SwaggerConfig,swaggerProperties,Long Statement
mall,com.macro.mall.controller,MinioController,upload,Long Statement
mall,com.macro.mall.controller,MinioController,upload,Long Statement
mall,com.macro.mall.controller,MinioController,createBucketPolicyConfigDto,Long Statement
mall,com.macro.mall.controller,PmsProductAttributeCategoryController,create,Long Identifier
mall,com.macro.mall.controller,PmsProductAttributeCategoryController,update,Long Identifier
mall,com.macro.mall.controller,PmsProductAttributeCategoryController,delete,Long Identifier
mall,com.macro.mall.controller,PmsProductAttributeCategoryController,getItem,Long Identifier
mall,com.macro.mall.controller,PmsProductAttributeCategoryController,getList,Long Identifier
mall,com.macro.mall.controller,PmsProductAttributeCategoryController,getList,Long Statement
mall,com.macro.mall.controller,PmsProductAttributeCategoryController,getListWithAttr,Long Identifier
mall,com.macro.mall.controller,PmsProductAttributeCategoryController,getListWithAttr,Long Statement
mall,com.macro.mall.controller,SmsCouponHistoryController,list,Long Parameter List
mall,com.macro.mall.controller,SmsFlashPromotionProductRelationController,list,Long Statement
mall,com.macro.mall.controller,SmsHomeAdvertiseController,list,Long Parameter List
mall,com.macro.mall.controller,SmsHomeRecommendProductController,list,Long Statement
mall,com.macro.mall.controller,SmsHomeRecommendSubjectController,list,Long Statement
mall,com.macro.mall.controller,UmsAdminController,updatePassword,Magic Number
mall,com.macro.mall.controller,UmsAdminController,updatePassword,Magic Number
mall,com.macro.mall.controller,UmsResourceController,list,Long Parameter List
mall,com.macro.mall.dao,CmsPrefrenceAreaProductRelationDao,insertList,Long Identifier
mall,com.macro.mall.dao,PmsProductCategoryAttributeRelationDao,insertList,Long Identifier
mall,com.macro.mall,PmsDaoTests,testInsertBatch,Magic Number
mall,com.macro.mall,PmsDaoTests,testInsertBatch,Magic Number
mall,com.macro.mall,PmsDaoTests,testGetProductUpdateInfo,Magic Number
mall,com.macro.mall,CommentGenerator,addJavaFileComment,Long Identifier
mall,com.macro.mall,CommentGenerator,addJavaFileComment,Long Statement
mall,com.macro.mall.service,SmsCouponHistoryService,list,Long Parameter List
mall,com.macro.mall.service,SmsHomeAdvertiseService,list,Long Parameter List
mall,com.macro.mall.service,UmsResourceService,list,Long Parameter List
mall,com.macro.mall.service.impl,OmsOrderReturnApplyServiceImpl,delete,Magic Number
mall,com.macro.mall.service.impl,OmsOrderReturnApplyServiceImpl,updateStatus,Magic Number
mall,com.macro.mall.service.impl,OmsOrderReturnApplyServiceImpl,updateStatus,Magic Number
mall,com.macro.mall.service.impl,OmsOrderReturnApplyServiceImpl,updateStatus,Magic Number
mall,com.macro.mall.service.impl,OmsOrderReturnApplyServiceImpl,updateStatus,Magic Number
mall,com.macro.mall.service.impl,OmsOrderServiceImpl,delivery,Magic Number
mall,com.macro.mall.service.impl,OmsOrderServiceImpl,close,Magic Number
mall,com.macro.mall.service.impl,OmsOrderServiceImpl,close,Magic Number
mall,com.macro.mall.service.impl,OssServiceImpl,policy,Long Statement
mall,com.macro.mall.service.impl,OssServiceImpl,policy,Magic Number
mall,com.macro.mall.service.impl,OssServiceImpl,policy,Magic Number
mall,com.macro.mall.service.impl,OssServiceImpl,policy,Magic Number
mall,com.macro.mall.service.impl,PmsProductAttributeCategoryServiceImpl,create,Long Identifier
mall,com.macro.mall.service.impl,PmsProductAttributeCategoryServiceImpl,update,Long Identifier
mall,com.macro.mall.service.impl,PmsProductAttributeCategoryServiceImpl,delete,Long Identifier
mall,com.macro.mall.service.impl,PmsProductAttributeCategoryServiceImpl,getItem,Long Identifier
mall,com.macro.mall.service.impl,PmsProductAttributeCategoryServiceImpl,getList,Long Identifier
mall,com.macro.mall.service.impl,PmsProductAttributeServiceImpl,create,Long Identifier
mall,com.macro.mall.service.impl,PmsProductAttributeServiceImpl,create,Long Statement
mall,com.macro.mall.service.impl,PmsProductAttributeServiceImpl,delete,Long Identifier
mall,com.macro.mall.service.impl,PmsProductAttributeServiceImpl,delete,Long Statement
mall,com.macro.mall.service.impl,PmsProductCategoryServiceImpl,insertRelationList,Long Identifier
mall,com.macro.mall.service.impl,PmsProductCategoryServiceImpl,update,Long Identifier
mall,com.macro.mall.service.impl,PmsProductServiceImpl,create,Long Identifier
mall,com.macro.mall.service.impl,PmsProductServiceImpl,update,Long Identifier
mall,com.macro.mall.service.impl,PmsProductServiceImpl,handleUpdateSkuStockList,Long Statement
mall,com.macro.mall.service.impl,PmsSkuStockServiceImpl,update,Long Statement
mall,com.macro.mall.service.impl,SmsCouponHistoryServiceImpl,list,Long Parameter List
mall,com.macro.mall.service.impl,SmsCouponServiceImpl,create,Magic Number
mall,com.macro.mall.service.impl,SmsCouponServiceImpl,deleteProductCategoryRelation,Long Identifier
mall,com.macro.mall.service.impl,SmsCouponServiceImpl,update,Magic Number
mall,com.macro.mall.service.impl,SmsFlashPromotionProductRelationServiceImpl,getCount,Long Statement
mall,com.macro.mall.service.impl,SmsHomeAdvertiseServiceImpl,list,Long Parameter List
mall,com.macro.mall.service.impl,UmsAdminServiceImpl,login,Long Statement
mall,com.macro.mall.service.impl,UmsAdminServiceImpl,updatePassword,Complex Conditional
mall,com.macro.mall.service.impl,UmsAdminServiceImpl,updatePassword,Long Statement
mall,com.macro.mall.service.impl,UmsAdminServiceImpl,updatePassword,Magic Number
mall,com.macro.mall.service.impl,UmsAdminServiceImpl,updatePassword,Magic Number
mall,com.macro.mall.service.impl,UmsMenuServiceImpl,treeList,Long Statement
mall,com.macro.mall.service.impl,UmsMenuServiceImpl,covertMenuNode,Long Statement
mall,com.macro.mall.service.impl,UmsResourceServiceImpl,list,Long Parameter List
mall,com.macro.mall.common.config,BaseRedisConfig,redisCacheManager,Long Statement
mall,com.macro.mall.common.config,BaseSwaggerConfig,createRestApi,Long Statement
mall,com.macro.mall.common.config,BaseSwaggerConfig,apiInfo,Long Statement
mall,com.macro.mall.common.log,WebLogAspect,getParameter,Complex Method
mall,com.macro.mall.common.util,RequestUtil,getRequestIp,Complex Conditional
mall,com.macro.mall.common.util,RequestUtil,getRequestIp,Complex Conditional
mall,com.macro.mall.common.util,RequestUtil,getRequestIp,Complex Conditional
mall,com.macro.mall.common.util,RequestUtil,getRequestIp,Magic Number
mall,com.macro.mall.demo.config,SecurityConfig,configure,Long Statement
mall,com.macro.mall.demo.config,SwaggerConfig,swaggerProperties,Long Statement
mall,com.macro.mall.portal.component,CancelOrderSender,sendMessage,Long Statement
mall,com.macro.mall.portal.config,RabbitMqConfig,orderTtlQueue,Long Statement
mall,com.macro.mall.portal.config,SwaggerConfig,swaggerProperties,Long Statement
mall,com.macro.mall.portal.controller,OmsCartItemController,listPromotion,Long Statement
mall,com.macro.mall.portal.controller,PmsPortalProductController,search,Long Parameter List
mall,com.macro.mall.portal.controller,UmsMemberCouponController,listCart,Long Statement
mall,com.macro.mall.portal,PortalProductDaoTests,testGetPromotionProductList,Magic Number
mall,com.macro.mall.portal,PortalProductDaoTests,testGetPromotionProductList,Magic Number
mall,com.macro.mall.portal,PortalProductDaoTests,testGetPromotionProductList,Magic Number
mall,com.macro.mall.portal,PortalProductDaoTests,testGetPromotionProductList,Magic Number
mall,com.macro.mall.portal,PortalProductDaoTests,testGetPromotionProductList,Magic Number
mall,com.macro.mall.portal.service,PmsPortalProductService,search,Long Parameter List
mall,com.macro.mall.portal.service.impl,HomeServiceImpl,content,Magic Number
mall,com.macro.mall.portal.service.impl,HomeServiceImpl,content,Magic Number
mall,com.macro.mall.portal.service.impl,HomeServiceImpl,content,Magic Number
mall,com.macro.mall.portal.service.impl,HomeServiceImpl,content,Magic Number
mall,com.macro.mall.portal.service.impl,HomeServiceImpl,getHomeFlashPromotion,Long Statement
mall,com.macro.mall.portal.service.impl,HomeServiceImpl,getFlashPromotion,Long Statement
mall,com.macro.mall.portal.service.impl,MemberAttentionServiceImpl,add,Long Identifier
mall,com.macro.mall.portal.service.impl,MemberAttentionServiceImpl,add,Long Statement
mall,com.macro.mall.portal.service.impl,MemberAttentionServiceImpl,delete,Long Identifier
mall,com.macro.mall.portal.service.impl,MemberAttentionServiceImpl,list,Long Identifier
mall,com.macro.mall.portal.service.impl,MemberAttentionServiceImpl,detail,Long Identifier
mall,com.macro.mall.portal.service.impl,MemberAttentionServiceImpl,clear,Long Identifier
mall,com.macro.mall.portal.service.impl,MemberCollectionServiceImpl,add,Long Statement
mall,com.macro.mall.portal.service.impl,OmsCartItemServiceImpl,getCartItem,Long Statement
mall,com.macro.mall.portal.service.impl,OmsPortalOrderServiceImpl,generateConfirmOrder,Long Identifier
mall,com.macro.mall.portal.service.impl,OmsPortalOrderServiceImpl,generateOrder,Complex Method
mall,com.macro.mall.portal.service.impl,OmsPortalOrderServiceImpl,generateOrder,Long Method
mall,com.macro.mall.portal.service.impl,OmsPortalOrderServiceImpl,generateOrder,Long Statement
mall,com.macro.mall.portal.service.impl,OmsPortalOrderServiceImpl,generateOrder,Long Statement
mall,com.macro.mall.portal.service.impl,OmsPortalOrderServiceImpl,generateOrder,Long Statement
mall,com.macro.mall.portal.service.impl,OmsPortalOrderServiceImpl,generateOrder,Magic Number
mall,com.macro.mall.portal.service.impl,OmsPortalOrderServiceImpl,cancelTimeOutOrder,Magic Number
mall,com.macro.mall.portal.service.impl,OmsPortalOrderServiceImpl,cancelOrder,Magic Number
mall,com.macro.mall.portal.service.impl,OmsPortalOrderServiceImpl,sendDelayMessageCancelOrder,Magic Number
mall,com.macro.mall.portal.service.impl,OmsPortalOrderServiceImpl,sendDelayMessageCancelOrder,Magic Number
mall,com.macro.mall.portal.service.impl,OmsPortalOrderServiceImpl,confirmReceiveOrder,Magic Number
mall,com.macro.mall.portal.service.impl,OmsPortalOrderServiceImpl,confirmReceiveOrder,Magic Number
mall,com.macro.mall.portal.service.impl,OmsPortalOrderServiceImpl,list,Long Statement
mall,com.macro.mall.portal.service.impl,OmsPortalOrderServiceImpl,deleteOrder,Magic Number
mall,com.macro.mall.portal.service.impl,OmsPortalOrderServiceImpl,deleteOrder,Magic Number
mall,com.macro.mall.portal.service.impl,OmsPortalOrderServiceImpl,generateOrderSn,Magic Number
mall,com.macro.mall.portal.service.impl,OmsPortalOrderServiceImpl,updateCouponStatus,Long Statement
mall,com.macro.mall.portal.service.impl,OmsPortalOrderServiceImpl,handleRealAmount,Long Statement
mall,com.macro.mall.portal.service.impl,OmsPortalOrderServiceImpl,calcPayAmount,Long Statement
mall,com.macro.mall.portal.service.impl,OmsPortalOrderServiceImpl,calcIntegrationAmount,Long Statement
mall,com.macro.mall.portal.service.impl,OmsPortalOrderServiceImpl,calcPromotionAmount,Long Statement
mall,com.macro.mall.portal.service.impl,OmsPortalOrderServiceImpl,getUseIntegrationAmount,Long Identifier
mall,com.macro.mall.portal.service.impl,OmsPortalOrderServiceImpl,getUseIntegrationAmount,Long Statement
mall,com.macro.mall.portal.service.impl,OmsPortalOrderServiceImpl,getUseIntegrationAmount,Long Statement
mall,com.macro.mall.portal.service.impl,OmsPortalOrderServiceImpl,getUseIntegrationAmount,Magic Number
mall,com.macro.mall.portal.service.impl,OmsPortalOrderServiceImpl,getUseIntegrationAmount,Magic Number
mall,com.macro.mall.portal.service.impl,OmsPortalOrderServiceImpl,getUseIntegrationAmount,Magic Number
mall,com.macro.mall.portal.service.impl,OmsPortalOrderServiceImpl,handleCouponAmount,Magic Number
mall,com.macro.mall.portal.service.impl,OmsPortalOrderServiceImpl,calcPerCouponAmount,Long Statement
mall,com.macro.mall.portal.service.impl,OmsPortalOrderServiceImpl,calcPerCouponAmount,Magic Number
mall,com.macro.mall.portal.service.impl,OmsPortalOrderServiceImpl,getCouponOrderItemByRelation,Complex Method
mall,com.macro.mall.portal.service.impl,OmsPortalOrderServiceImpl,hasStock,Complex Conditional
mall,com.macro.mall.portal.service.impl,OmsPortalOrderServiceImpl,hasStock,Long Statement
mall,com.macro.mall.portal.service.impl,OmsPortalOrderServiceImpl,calcCartAmount,Long Statement
mall,com.macro.mall.portal.service.impl,OmsPromotionServiceImpl,calcCartPromotion,Complex Method
mall,com.macro.mall.portal.service.impl,OmsPromotionServiceImpl,calcCartPromotion,Long Statement
mall,com.macro.mall.portal.service.impl,OmsPromotionServiceImpl,calcCartPromotion,Long Statement
mall,com.macro.mall.portal.service.impl,OmsPromotionServiceImpl,calcCartPromotion,Magic Number
mall,com.macro.mall.portal.service.impl,OmsPromotionServiceImpl,calcCartPromotion,Magic Number
mall,com.macro.mall.portal.service.impl,OmsPromotionServiceImpl,getLadderPromotionMessage,Magic Number
mall,com.macro.mall.portal.service.impl,PmsPortalProductServiceImpl,search,Complex Method
mall,com.macro.mall.portal.service.impl,PmsPortalProductServiceImpl,search,Long Parameter List
mall,com.macro.mall.portal.service.impl,PmsPortalProductServiceImpl,search,Magic Number
mall,com.macro.mall.portal.service.impl,PmsPortalProductServiceImpl,search,Magic Number
mall,com.macro.mall.portal.service.impl,PmsPortalProductServiceImpl,search,Magic Number
mall,com.macro.mall.portal.service.impl,PmsPortalProductServiceImpl,categoryTreeList,Long Statement
mall,com.macro.mall.portal.service.impl,PmsPortalProductServiceImpl,detail,Long Statement
mall,com.macro.mall.portal.service.impl,PmsPortalProductServiceImpl,detail,Magic Number
mall,com.macro.mall.portal.service.impl,PmsPortalProductServiceImpl,detail,Magic Number
mall,com.macro.mall.portal.service.impl,PmsPortalProductServiceImpl,covert,Long Statement
mall,com.macro.mall.portal.service.impl,UmsMemberCouponServiceImpl,generateCouponCode,Magic Number
mall,com.macro.mall.portal.service.impl,UmsMemberCouponServiceImpl,generateCouponCode,Magic Number
mall,com.macro.mall.portal.service.impl,UmsMemberCouponServiceImpl,generateCouponCode,Magic Number
mall,com.macro.mall.portal.service.impl,UmsMemberCouponServiceImpl,generateCouponCode,Magic Number
mall,com.macro.mall.portal.service.impl,UmsMemberCouponServiceImpl,generateCouponCode,Magic Number
mall,com.macro.mall.portal.service.impl,UmsMemberCouponServiceImpl,listCart,Complex Conditional
mall,com.macro.mall.portal.service.impl,UmsMemberCouponServiceImpl,listCart,Complex Conditional
mall,com.macro.mall.portal.service.impl,UmsMemberCouponServiceImpl,listCart,Complex Method
mall,com.macro.mall.portal.service.impl,UmsMemberCouponServiceImpl,listCart,Magic Number
mall,com.macro.mall.portal.service.impl,UmsMemberCouponServiceImpl,listByProduct,Long Identifier
mall,com.macro.mall.portal.service.impl,UmsMemberCouponServiceImpl,listByProduct,Long Statement
mall,com.macro.mall.portal.service.impl,UmsMemberServiceImpl,generateAuthCode,Magic Number
mall,com.macro.mall.portal.service.impl,UmsMemberServiceImpl,generateAuthCode,Magic Number
mall,com.macro.mall.portal.service.impl,UmsMemberServiceImpl,login,Long Statement
mall,com.macro.mall.portal.util,DateUtil,getTime,Magic Number
mall,com.macro.mall.search.config,SwaggerConfig,swaggerProperties,Long Statement
mall,com.macro.mall.search.controller,EsProductController,search,Long Parameter List
mall,com.macro.mall.search.service,EsProductService,search,Long Parameter List
mall,com.macro.mall.search.service.impl,EsProductServiceImpl,search,Complex Method
mall,com.macro.mall.search.service.impl,EsProductServiceImpl,search,Long Parameter List
mall,com.macro.mall.search.service.impl,EsProductServiceImpl,search,Long Statement
mall,com.macro.mall.search.service.impl,EsProductServiceImpl,search,Long Statement
mall,com.macro.mall.search.service.impl,EsProductServiceImpl,search,Long Statement
mall,com.macro.mall.search.service.impl,EsProductServiceImpl,search,Long Statement
mall,com.macro.mall.search.service.impl,EsProductServiceImpl,search,Long Statement
mall,com.macro.mall.search.service.impl,EsProductServiceImpl,search,Magic Number
mall,com.macro.mall.search.service.impl,EsProductServiceImpl,search,Magic Number
mall,com.macro.mall.search.service.impl,EsProductServiceImpl,search,Magic Number
mall,com.macro.mall.search.service.impl,EsProductServiceImpl,search,Magic Number
mall,com.macro.mall.search.service.impl,EsProductServiceImpl,search,Magic Number
mall,com.macro.mall.search.service.impl,EsProductServiceImpl,search,Magic Number
mall,com.macro.mall.search.service.impl,EsProductServiceImpl,search,Magic Number
mall,com.macro.mall.search.service.impl,EsProductServiceImpl,recommend,Long Statement
mall,com.macro.mall.search.service.impl,EsProductServiceImpl,recommend,Long Statement
mall,com.macro.mall.search.service.impl,EsProductServiceImpl,recommend,Long Statement
mall,com.macro.mall.search.service.impl,EsProductServiceImpl,recommend,Long Statement
mall,com.macro.mall.search.service.impl,EsProductServiceImpl,recommend,Long Statement
mall,com.macro.mall.search.service.impl,EsProductServiceImpl,recommend,Long Statement
mall,com.macro.mall.search.service.impl,EsProductServiceImpl,recommend,Long Statement
mall,com.macro.mall.search.service.impl,EsProductServiceImpl,recommend,Magic Number
mall,com.macro.mall.search.service.impl,EsProductServiceImpl,recommend,Magic Number
mall,com.macro.mall.search.service.impl,EsProductServiceImpl,recommend,Magic Number
mall,com.macro.mall.search.service.impl,EsProductServiceImpl,recommend,Magic Number
mall,com.macro.mall.search.service.impl,EsProductServiceImpl,recommend,Magic Number
mall,com.macro.mall.search.service.impl,EsProductServiceImpl,recommend,Magic Number
mall,com.macro.mall.search.service.impl,EsProductServiceImpl,searchRelatedInfo,Long Statement
mall,com.macro.mall.search.service.impl,EsProductServiceImpl,convertProductRelatedInfo,Long Statement
mall,com.macro.mall.security.component,JwtAuthenticationTokenFilter,doFilterInternal,Long Statement
mall,com.macro.mall.security.config,SecurityConfig,filterChain,Long Statement
mall,com.macro.mall.security.config,SecurityConfig,filterChain,Long Statement
mall,com.macro.mall.security.util,JwtTokenUtil,generateToken,Long Statement
mall,com.macro.mall.security.util,JwtTokenUtil,generateExpirationDate,Magic Number
mall,com.macro.mall.security.util,JwtTokenUtil,refreshHeadToken,Magic Number
mall,com.macro.mall.security.util,JwtTokenUtil,refreshHeadToken,Magic Number
